id,location,name
100t,ต.วัดใหม่ อ.เมืองจันทบุรี จ.จันทบุรี,สถานีอุตุนิยมวิทยาจันทบุรี
35t,ต.ช้างเผือก อ.เมือง จ.เชียงใหม่,ศูนย์ราชการจังหวัดเชียงใหม่
36t,ต.ศรีภูมิ อ.เมือง จ.เชียงใหม่,โรงเรียนยุพราชวิทยาลัย
37t,ต.พระบาท อ.เมือง จ.ลำปาง,สถานีอุตุนิยมวิทยาลำปาง
38t,ต.สบป้าด อ.แม่เมาะ จ.ลำปาง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสบป้าด
39t,ต.บ้านดง อ.แม่เมาะ จ.ลำปาง,โรงพยาบาลส่งเสริมสุขภาพตำบลท่าสี
40t,ต.แม่เมาะ อ.แม่เมาะ จ.ลำปาง,สำนักงานการประปาส่วนภูมิภาคอำเภอแม่เมาะ
41t,ต.ปากน้ำโพ อ.เมือง จ.นครสวรรค์,โครงการชลประทานนครสวรรค์
57t,ต.เวียง อ.เมือง จ.เชียงราย,สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดเชียงราย
73t,ต.เวียงพางคำ อ.แม่สาย จ.เชียงราย,สำนักงานสาธารณสุขอำเภอแม่สาย
58t,ต.จองคำ อ.เมือง จ.แม่ฮ่องสอน,สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัด แม่ฮ่องสอน
67t,ต.ในเวียง อ.เมือง จ.น่าน,สำนักงานเทศบาลเมืองน่าน
75t,ต.ห้วยโก๋น อ.เฉลิมพระเกียรติ จ.น่าน,โรงพยาบาลเฉลิมพระเกียรติ น่าน
68t,ต.บ้านกลาง อ.เมือง จ.ลำพูน,สถานีอุตุนิยมวิทยาลำพูน
69t,ต.นาจักร อ.เมือง จ. แพร่,สถานีอุตุนิยมวิทยาแพร่ 
70t,ต.บ้านต๋อม อ.เมืองพะเยา จ.พะเยา,สนามกีฬาจังหวัดพะเยา
76t,ต.แม่ปะ อ.แม่สอด จ.ตาก,ศูนย์การศึกษานอกระบบอำเภอแม่สอด
86t,ต.ในเมือง อ.เมือง จ.พิษณุโลก,สวนชมน่าน บริเวณหน้าวิทยาลัยอาชีวศึกษาพิษณุโลก
92t,ต.ท่าอิฐ อ.เมือง จ.อุตรดิตถ์,บริเวณภายในพื้นที่สวนมหามงคลเฉลิมพระเกียรติพระชนมพรรษา 6 รอบ 5 ธันวาคม 2552
94t,ต.ในเมือง อ.เมืองกำแพงเพชร จ.กำแพงเพชร,ลานอนุรักษ์วัฒนธรรมไทยสิริจิตอุทยาน
95t,ต.ในเมือง อ.เมืองพิจิตร จ.พิจิตร,สนามกีฬาจังหวัดพิจิตร
96t,ต.ธานี อ.เมือง จ.สุโขทัย,สวนสาธารณะ ชุมชนเลอไทย
97t,ต.ในเมือง อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์,สวนสาธารณะเพชบุระ
98t,ต.อุทัยใหม่ อ.เมืองอุทัยธานี จ.อุทัยธานี,สวนเฉลิมพระเกียรติพระบาทสมเด็จพระเจ้าอยู่หัว เฉลิมพระชนมพรรษา 80 พรรษา
42t,ต.มะขามเตี้ย อ.เมือง จ.สุราษฏร์ธานี,สำนักงานสิ่งแวดล้อมภาคที่ ๑๔ สุราษฎร์ธานี
43t,ต.ตลาดใหญ่ อ.เมือง จ.ภูเก็ต,ศูนย์บริการสาธารณสุขเทศบาลนครภูเก็ต
44t,ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา,เทศบาลนครหาดใหญ่
62t,ต.บางนาค อ.เมือง จ.นราธิวาส,ศาลากลางจังหวัดนราธิวาส
63t,ต.สะเตง อ.เมือง จ.ยะลา,สวนสาธารณะสนามโรงพิธีช้างเผือก ยะลา
78t,ต.เบตง อ.เบตง จ.ยะลา,ศูนย์พัฒนาเด็กเล็กเทศบาลเมืองเบตง
80t,ต.พิมาน อ.เมือง. จ.สตูล,ศาลากลางจังหวัดสตูล
89t,ต.คลัง อ.เมือง จ.นครศรีธรรมราช,ศูนย์ฟื้นฟูสุขภาพผู้สูงอายุ
93t,ต.นาตาล่วง อ.เมืองตรัง จ.ตรัง,วิทยาลัยสารพัดช่างตรัง
